word,tag,abstract_id
In,O,0
this,O,0
article,O,0
we,O,0
discuss,O,0
several,O,0
metrics,B,0
of,I,0
coherence,I,0
defined,O,0
using,O,0
centering,B,0
theory,I,0
and,O,0
investigate,O,0
the,O,0
usefulness,O,0
of,O,0
such,O,0
metrics,B,0
for,O,0
information,O,0
ordering,O,0
in,O,0
automatic,B,0
text,I,0
generation,I,0
.,O,0
We,O,0
estimate,O,0
empirically,O,0
which,O,0
is,O,0
the,O,0
most,O,0
promising,O,0
metric,B,0
and,O,0
how,O,0
useful,O,0
this,O,0
metric,B,0
is,O,0
using,O,0
a,O,0
general,O,0
methodology,O,0
applied,O,0
on,O,0
several,O,0
corpora,B,0
.,O,0
Our,O,0
main,O,0
result,O,0
is,O,0
that,O,0
the,O,0
simplest,O,0
metric,O,0
(,O,0
which,O,0
relies,O,0
exclusively,O,0
on,O,0
NOCB,B,0
transitions,I,0
),O,0
sets,O,0
a,O,0
robust,O,0
baseline,B,0
that,O,0
cannot,O,0
be,O,0
outperformed,O,0
by,O,0
other,O,0
metrics,B,0
which,O,0
make,O,0
use,O,0
of,O,0
additional,O,0
centering,B,0
based,I,0
features,I,0
.,O,0
This,O,0
baseline,O,0
can,O,0
be,O,0
used,O,0
for,O,0
the,O,0
development,O,0
of,O,0
both,O,0
text,B,0
to,I,0
text,I,0
and,O,0
concept,B,0
to,I,0
text,I,0
generation,I,0
systems,I,0
.,O,0
Current,O,1
machine,B,1
translation,I,1
(,O,1
MT,B,1
),O,1
systems,O,1
are,O,1
still,O,1
not,O,1
perfect,O,1
.,O,1
In,O,1
practice,O,1
",",O,1
the,O,1
output,B,1
from,O,1
these,O,1
systems,O,1
needs,O,1
to,O,1
be,O,1
edited,O,1
to,O,1
correct,O,1
errors,B,1
.,O,1
A,O,1
way,O,1
of,O,1
increasing,O,1
the,O,1
productivity,O,1
of,O,1
the,O,1
whole,O,1
translation,B,1
process,I,1
(,O,1
MT,B,1
plus,O,1
human,O,1
work,O,1
),O,1
is,O,1
to,O,1
incorporate,O,1
the,O,1
human,O,1
correction,O,1
activities,O,1
within,O,1
the,O,1
translation,B,1
process,I,1
itself,O,1
",",O,1
thereby,O,1
shifting,B,1
the,O,1
MT,B,1
paradigm,I,1
to,O,1
that,O,1
of,O,1
computer,B,1
assisted,I,1
translation,I,1
.,O,1
This,O,1
model,B,1
entails,O,1
an,O,1
iterative,B,1
process,I,1
in,O,1
which,O,1
the,O,1
human,B,1
translator,I,1
activity,I,1
is,O,1
included,O,1
in,O,1
the,O,1
loop,O,1
:,O,1
In,O,1
each,O,1
iteration,B,1
",",O,1
a,O,1
prefix,B,1
of,O,1
the,O,1
translation,O,1
is,O,1
validated,B,1
(,O,1
accepted,B,1
or,O,1
amended,B,1
),O,1
by,O,1
the,O,1
human,O,1
and,O,1
the,O,1
system,O,1
computes,O,1
its,O,1
best,O,1
(,O,1
or,O,1
n,O,1
best,O,1
),O,1
translation,B,1
suffix,I,1
hypothesis,I,1
to,O,1
complete,O,1
this,O,1
prefix,B,1
.,O,1
A,O,1
successful,O,1
framework,B,1
for,O,1
MT,B,1
is,O,1
the,O,1
so,O,1
called,O,1
statistical,O,1
(,O,1
or,O,1
pattern,O,1
recognition,O,1
),O,1
framework,B,1
.,O,1
Interestingly,O,1
",",O,1
within,O,1
this,O,1
framework,B,1
",",O,1
the,O,1
adaptation,O,1
of,O,1
MT,B,1
systems,I,1
to,O,1
the,O,1
interactive,O,1
scenario,O,1
affects,O,1
mainly,O,1
the,O,1
search,O,1
process,O,1
",",O,1
allowing,O,1
a,O,1
great,O,1
reuse,O,1
of,O,1
successful,O,1
techniques,I,1
and,O,1
models,B,1
.,O,1
In,O,1
this,O,1
article,O,1
",",O,1
alignment,B,1
templates,I,1
",",O,1
phrase,B,1
based,I,1
models,I,1
",",O,1
and,O,1
stochastic,B,1
finite,I,1
state,I,1
transducers,I,1
are,O,1
used,O,1
to,O,1
develop,O,1
computer,B,1
assisted,I,1
translation,I,1
systems,I,1
.,O,1
These,O,1
systems,O,1
were,O,1
assessed,O,1
in,O,1
a,O,1
European,O,1
project,O,1
(,O,1
Trans,B,1
Type2,I,1
),O,1
in,O,1
two,O,1
real,O,1
tasks,O,1
:,O,1
The,O,1
translation,O,1
of,O,1
printer,O,1
manuals,O,1
;,O,1
manuals,O,1
and,O,1
the,O,1
translation,O,1
of,O,1
the,O,1
Bulletin,O,1
of,O,1
the,O,1
European,O,1
Union,O,1
.,O,1
In,O,1
each,O,1
task,O,1
",",O,1
the,O,1
following,O,1
three,O,1
pairs,O,1
of,O,1
languages,O,1
were,O,1
involved,O,1
(,O,1
in,O,1
both,O,1
translation,O,1
directions,O,1
),O,1
:,O,1
English,O,1
Spanish,O,1
",",O,1
English,O,1
German,O,1
",",O,1
and,O,1
English,O,1
French,O,1
.,O,1
Given,O,2
a,O,2
constraint,B,2
set,I,2
with,O,2
k,O,2
constraints,B,2
in,O,2
the,O,2
framework,B,2
of,I,2
Optimality,I,2
Theory,I,2
(,O,2
OT,B,2
),O,2
",",O,2
what,O,2
is,O,2
its,O,2
capacity,O,2
as,O,2
